Variety,Card Number,Player/Athlete,Team,Rookie
Base,1,Julio Rodríguez,Seattle Mariners,
Base,2,Endy Rodríguez,Pittsburgh Pirates,RC
Base,3,Hunter Goodman,Colorado Rockies,RC
Base,4,Henry Davis,Pittsburgh Pirates,RC
Base,5,Yu Darvish,San Diego Padres,
Base,6,Christian Encarnacion-Strand,Cincinnati Reds,RC
Base,7,Luis Robert Jr.,Chicago White Sox,
Base,8,Kyle Tucker,Houston Astros,
Base,9,Bo Bichette,Toronto Blue Jays,
Base,10,Dansby Swanson,Chicago Cubs,
Base,11,Anthony Volpe,New York Yankees,
Base,12,MacKenzie Gore,Washington Nationals,
Base,13,Jazz Chisholm Jr.,Miami Marlins,
Base,14,Curtis Mead,Tampa Bay Rays,RC
Base,15,Adley Rutschman,Baltimore Orioles,
Base,16,Francisco Alvarez,New York Mets,
Base,17,CJ Abrams,Washington Nationals,
Base,18,Eury Pérez,Miami Marlins,
Base,19,Emmet Sheehan,Los Angeles Dodgers,RC
Base,20,Ronald Acuña Jr.,Atlanta Braves,
Base,21,Emerson Hancock,Seattle Mariners,RC
Base,22,Sandy Alcantara,Miami Marlins,
Base,23,Gavin Williams,Cleveland Guardians,RC
Base,24,Masyn Winn,St. Louis Cardinals,RC
Base,25,Gerrit Cole,New York Yankees,
Base,26,Nick Gonzales,Pittsburgh Pirates,RC
Base,27,AJ Smith-Shawver,Atlanta Braves,RC
Base,28,Colton Cowser,Baltimore Orioles,RC
Base,29,Jose Altuve,Houston Astros,
Base,30,Byron Buxton,Minnesota Twins,
Base,31,Jasson Domínguez,New York Yankees,RC
Base,32,Andrew Abbott,Cincinnati Reds,RC
Base,33,Jordan Westburg,Baltimore Orioles,RC
Base,34,José Tena,Cleveland Guardians,RC
Base,35,Tyler Soderstrom,Oakland Athletics,RC
Base,36,Quinn Priester,Pittsburgh Pirates,RC
Base,37,Jordyn Adams,Los Angeles Angels,RC
Base,38,Pete Alonso,New York Mets,
Base,39,Trea Turner,Philadelphia Phillies,
Base,40,Patrick Bailey,San Francisco Giants,
Base,41,George Kirby,Seattle Mariners,
Base,42,Ke'Bryan Hayes,Pittsburgh Pirates,
Base,43,Christian Yelich,Milwaukee Brewers,
Base,44,Elly De La Cruz,Cincinnati Reds,RC
Base,45,Matt Olson,Atlanta Braves,
Base,46,Pete Crow-Armstrong,Chicago Cubs,RC
Base,47,Justin Steele,Chicago Cubs,
Base,48,Corey Seager,Texas Rangers,
Base,49,Heston Kjerstad,Baltimore Orioles,RC
Base,50,Juan Soto,New York Yankees,
Base,51,Masataka Yoshida,Boston Red Sox,
Base,52,Clayton Kershaw,Los Angeles Dodgers,
Base,53,Austin Wells,New York Yankees,RC
Base,54,Rafael Devers,Boston Red Sox,
Base,55,Oneil Cruz,Pittsburgh Pirates,
Base,56,Kyren Paris,Los Angeles Angels,RC
Base,57,Lawrence Butler,Oakland Athletics,RC
Base,58,Slade Cecconi,Arizona Diamondbacks,RC
Base,59,Luis Matos,San Francisco Giants,RC
Base,60,Bryce Harper,Philadelphia Phillies,
Base,61,Yoán Moncada,Chicago White Sox,
Base,62,Freddie Freeman,Los Angeles Dodgers,
Base,63,Luis Arraez,San Diego Padres,
Base,64,Triston Casas,Boston Red Sox,
Base,65,Kevin Gausman,Toronto Blue Jays,
Base,66,Manny Machado,San Diego Padres,
Base,67,Ronny Mauricio,New York Mets,RC
Base,68,Austin Riley,Atlanta Braves,
Base,69,Johan Rojas,Philadelphia Phillies,RC
Base,70,Jesús Luzardo,Miami Marlins,
Base,71,Noelvi Marte,Cincinnati Reds,RC
Base,72,Kyle Harrison,San Francisco Giants,RC
Base,73,Francisco Lindor,New York Mets,
Base,74,Ketel Marte,Arizona Diamondbacks,
Base,75,Max Fried,Atlanta Braves,
Base,76,Nick Loftin,Kansas City Royals,RC
Base,77,Ceddanne Rafaela,Boston Red Sox,RC
Base,78,Bryan Woo,Seattle Mariners,RC
Base,79,Marco Luciano,San Francisco Giants,RC
Base,80,Luis Castillo,Seattle Mariners,
Base,81,Owen White,Texas Rangers,RC
Base,82,Zack Gelof,Oakland Athletics,RC
Base,83,Yordan Alvarez,Houston Astros,
Base,84,Everson Pereira,New York Yankees,RC
Base,85,Alika Williams,Pittsburgh Pirates,RC
Base,86,Aaron Judge,New York Yankees,
Base,87,Corbin Carroll,Arizona Diamondbacks,
Base,88,Nolan Schanuel,Los Angeles Angels,RC
Base,89,Riley Greene,Detroit Tigers,
