Parallel/Variety,Card Number,Player/Athlete,Team,Rookie
Base,1,Bobby Witt Jr.,Kansas City Royals,
Base,2,Bryce Harper,Philadelphia Phillies,
Base,3,Gunnar Henderson,Baltimore Orioles,
Base,4,Rafael Devers,Boston Red Sox,
Base,5,Mike Trout,Los Angeles Angels,
Base,6,Salvador Perez,Kansas City Royals,
Base,7,Freddy Peralta,Milwaukee Brewers,
Base,8,Ezequiel Tovar,Colorado Rockies,
Base,9,Cody Bellinger,New York Yankees,
Base,10,Hunter Greene,Cincinnati Reds,
Base,11,Zebby Matthews,Minnesota Twins,RC
Base,12,Zac Gallen,Arizona Diamondbacks,
Base,13,Byron Buxton,Minnesota Twins,
Base,14,Jackson Merrill,San Diego Padres,
Base,15,Jhonkensy Noel,Cleveland Guardians,RC
Base,16,Zach Neto,Los Angeles Angels,
Base,17,George Kirby,Seattle Mariners,
Base,18,Mason Miller,Athletics,
Base,19,Oneil Cruz,Pittsburgh Pirates,
Base,20,Freddie Freeman,Los Angeles Dodgers,
Base,21,Cade Povich,Baltimore Orioles,RC
Base,22,Francisco Lindor,New York Mets,
Base,23,Royce Lewis,Minnesota Twins,
Base,24,Hayden Birdsong,San Francisco Giants,RC
Base,25,Luis Robert Jr.,Chicago White Sox,
Base,26,Zack Wheeler,Philadelphia Phillies,
Base,27,Coby Mayo,Baltimore Orioles,RC
Base,28,Trey Sweeney,Detroit Tigers,RC
Base,29,Connor Norby,Miami Marlins,RC
Base,30,Bryan Reynolds,Pittsburgh Pirates,
Base,31,Kyle Tucker,Chicago Cubs,
Base,32,Thomas Saggese,St. Louis Cardinals,RC
Base,33,Ryan Bliss,Seattle Mariners,RC
Base,34,Max Scherzer,Texas Rangers,
Base,35,Ketel Marte,Arizona Diamondbacks,
Base,36,Josh Naylor,Arizona Diamondbacks,
Base,37,Drew Romo,Colorado Rockies,RC
Base,38,Shay Whitcomb,Houston Astros,RC
Base,39,Austin Riley,Atlanta Braves,
Base,40,Randy Arozarena,Seattle Mariners,
Base,41,Brooks Lee,Minnesota Twins,RC
Base,42,Justyn-Henry Malloy,Detroit Tigers,RC
Base,43,Jackson Holliday,Baltimore Orioles,
Base,44,Matt Chapman,San Francisco Giants,
Base,45,Kevin Alcántara,Chicago Cubs,RC
Base,46,Carlos Correa,Minnesota Twins,
Base,47,Willy Adames,San Francisco Giants,
Base,48,Grant McCray,San Francisco Giants,RC
Base,49,Jurickson Profar,San Diego Padres,
Base,50,Shohei Ohtani,Los Angeles Dodgers,
Base,51,Bo Bichette,Toronto Blue Jays,
Base,52,Drew Thorpe,Chicago White Sox,RC
Base,53,Luisangel Acuña,New York Mets,RC
Base,54,Spencer Schwellenbach,Atlanta Braves,RC
Base,55,Fernando Tatis Jr.,San Diego Padres,
Base,56,Darren Baker,Washington Nationals,RC
Base,57,Brenton Doyle,Colorado Rockies,
Base,58,Yordan Alvarez,Houston Astros,
Base,59,Spencer Steer,Cincinnati Reds,
Base,60,Jackson Jobe,Detroit Tigers,(RC)
Base,61,Nolan Schanuel,Los Angeles Angels,
Base,62,Jacob Wilson,Athletics,RC
Base,63,Edwin Díaz,New York Mets,
Base,64,Yoshinobu Yamamoto,Los Angeles Dodgers,
Base,65,Nacho Alvarez Jr.,Atlanta Braves,RC
Base,66,Adley Rutschman,Baltimore Orioles,
Base,67,DJ Herz,Washington Nationals,RC
Base,68,Kevin Gausman,Toronto Blue Jays,
Base,69,Corbin Burnes,Arizona Diamondbacks,
Base,70,Cole Ragans,Kansas City Royals,
Base,71,Will Wagner,Toronto Blue Jays,RC
Base,72,Luis Castillo,Seattle Mariners,
Base,73,Dylan Cease,San Diego Padres,
Base,74,Xavier Edwards,Miami Marlins,
Base,75,Colt Keith,Detroit Tigers,
Base,76,Aaron Nola,Philadelphia Phillies,
Base,77,Jake Eder,Chicago White Sox,RC
Base,78,Pete Alonso,New York Mets,
Base,79,Angel Martínez,Cleveland Guardians,RC
Base,80,Garrett Crochet,Boston Red Sox,
Base,81,William Contreras,Milwaukee Brewers,
Base,82,José Berríos,Toronto Blue Jays,
Base,83,Wyatt Langford,Texas Rangers,
Base,84,Seiya Suzuki,Chicago Cubs,
Base,85,Nolan Arenado,St. Louis Cardinals,
Base,86,Tyler O'Neill,Baltimore Orioles,
Base,87,Jarren Duran,Boston Red Sox,
Base,88,Orelvis Martinez,Toronto Blue Jays,RC
Base,89,Tarik Skubal,Detroit Tigers,
Base,90,Brent Rooker,Athletics,
Base,91,Matt Olson,Atlanta Braves,
Base,92,Corbin Carroll,Arizona Diamondbacks,
Base,93,Caden Dana,Los Angeles Angels,RC
Base,94,Ty Madden,Detroit Tigers,RC
Base,95,MacKenzie Gore,Washington Nationals,
Base,96,Will Smith,Los Angeles Dodgers,
Base,97,Trea Turner,Philadelphia Phillies,
Base,98,Jackson Chourio,Milwaukee Brewers,
Base,99,Aaron Judge,New York Yankees,
Base,100,Elly De La Cruz,Cincinnati Reds,
Base,101,Mark Vientos,New York Mets,
Base,102,Vladimir Guerrero Jr.,Toronto Blue Jays,
Base,103,Hurston Waldrep,Atlanta Braves,RC
Base,104,James Wood,Washington Nationals,RC
Base,105,Justin Steele,Chicago Cubs,
Base,106,Logan Gilbert,Seattle Mariners,
Base,107,Kumar Rocker,Texas Rangers,RC
Base,108,Riley Greene,Detroit Tigers,
Base,109,Paul Skenes,Pittsburgh Pirates,
Base,110,Triston Casas,Boston Red Sox,
Base,111,Rhett Lowder,Cincinnati Reds,RC
Base,112,Lawrence Butler,Athletics,
Base,113,Chris Sale,Atlanta Braves,
Base,114,Christian Yelich,Milwaukee Brewers,
Base,115,Masyn Winn,St. Louis Cardinals,
Base,116,Taj Bradley,Tampa Bay Rays,
Base,117,Tyler Locklear,Seattle Mariners,RC
Base,118,River Ryan,Los Angeles Dodgers,RC
Base,119,Emmanuel Clase,Cleveland Guardians,
Base,120,Ben Rice,New York Yankees,RC
Base,121,David Festa,Minnesota Twins,RC
Base,122,Adrian Del Castillo,Arizona Diamondbacks,RC
Base,123,Jacob deGrom,Texas Rangers,
Base,124,Marcus Semien,Texas Rangers,
Base,125,Eury Pérez,Miami Marlins,
Base,126,Gerrit Cole,New York Yankees,
Base,127,Dylan Crews,Washington Nationals,RC
Base,128,Mookie Betts,Los Angeles Dodgers,
Base,129,Blake Snell,Los Angeles Dodgers,
Base,130,Juan Soto,New York Mets,
Base,131,Brooks Baldwin,Chicago White Sox,RC
Base,132,Sandy Alcantara,Miami Marlins,
Base,133,José Ramírez,Cleveland Guardians,
Base,134,Jace Jung,Detroit Tigers,RC
Base,135,Junior Caminero,Tampa Bay Rays,
Base,136,Julio Rodríguez,Seattle Mariners,
Base,137,CJ Abrams,Washington Nationals,
Base,138,Nick Yorke,Pittsburgh Pirates,RC
Base,139,Jose Altuve,Houston Astros,
Base,140,Luis García Jr.,Washington Nationals,
Base,141,Shota Imanaga,Chicago Cubs,
Base,142,Manny Machado,San Diego Padres,
Base,143,Ryan Pepiot,Tampa Bay Rays,
Base,144,Jazz Chisholm Jr.,New York Yankees,
Base,145,Logan Webb,San Francisco Giants,
Base,146,Paul Goldschmidt,New York Yankees,
Base,147,Adael Amador,Colorado Rockies,RC
Base,148,Corey Seager,Texas Rangers,
Base,149,Rece Hinds,Cincinnati Reds,RC
Base,150,Ronald Acuña Jr.,Atlanta Braves,
Autographs,CBA-AA,Adael Amador,Colorado Rockies,
Autographs,CBA-AAL,Armando Alvarez,Athletics,
Autographs,CBA-AM,Adam Mazur,Miami Marlins,
Autographs,CBA-AMA,Angel Martínez,Cleveland Guardians,
Autographs,CBA-AP,Albert Pujols,St. Louis Cardinals,
Autographs,CBA-APA,Andy Pages,Los Angeles Dodgers,
Autographs,CBA-AR,Adley Rutschman,Baltimore Orioles,
Autographs,CBA-ARI,Austin Riley,Atlanta Braves,
Autographs,CBA-AV,Anthony Volpe,New York Yankees,
Autographs,CBA-BBA,Brooks Baldwin,Chicago White Sox,
Autographs,CBA-BJ,Bo Jackson,Kansas City Royals,
Autographs,CBA-BL,Brooks Lee,Minnesota Twins,
Autographs,CBA-BR,Ben Rice,New York Yankees,
Autographs,CBA-BRE,Bryan Reynolds,Pittsburgh Pirates,
Autographs,CBA-BRO,Brian Roberts,Baltimore Orioles,
Autographs,CBA-BW,Bobby Witt Jr.,Kansas City Royals,
Autographs,CBA-CA,CJ Alexander,Athletics,
Autographs,CBA-CAN,Carlos Narvaez,New York Yankees,
Autographs,CBA-CC,Corbin Carroll,Arizona Diamondbacks,
Autographs,CBA-CK,Colt Keith,Detroit Tigers,
Autographs,CBA-CL,Cliff Lee,Philadelphia Phillies,
Autographs,CBA-CMA,Coby Mayo,Baltimore Orioles,
Autographs,CBA-CN,Connor Norby,Miami Marlins,
Autographs,CBA-CP,Cade Povich,Baltimore Orioles,
Autographs,CBA-CR,Cal Ripken Jr.,Baltimore Orioles,
Autographs,CBA-CY,Christian Yelich,Milwaukee Brewers,
Autographs,CBA-DB,Darren Baker,Washington Nationals,
Autographs,CBA-DC,Dylan Crews,Washington Nationals,
Autographs,CBA-DD,Dillon Dingler,Detroit Tigers,
Autographs,CBA-DF,David Festa,Minnesota Twins,
Autographs,CBA-DH,DJ Herz,Washington Nationals,
Autographs,CBA-DJ,Derek Jeter,New York Yankees,
Autographs,CBA-DO,David Ortiz,Boston Red Sox,
Autographs,CBA-DR,Drew Romo,Colorado Rockies,
Autographs,CBA-DSC,Daniel Schneemann,Cleveland Guardians,
Autographs,CBA-DT,Drew Thorpe,Chicago White Sox,
Autographs,CBA-DW,David Wright,New York Mets,
Autographs,CBA-FH,Félix Hernández,Seattle Mariners,
