Variety,Card Number,Player Name,Team Name,Notes,Parallel
Base,US1,Luis Arraez,Miami Marlins,,"Gold Foil – (1:2 jumbo, jumbo only)"
Base,US2,Edmundo Sosa,Philadelphia Phillies,,Rainbow Foil
Base,US3,Taj Bradley,Tampa Bay Rays,- Rookie Debut,"Royal Blue – (1:10 retail, retail only)"
Base,US4,Jake Rogers,Detroit Tigers,,Gold – /2023
Base,US5,Masataka Yoshida,Boston Red Sox,- Rookie Debut,Blue Foilboard – /999 (retail only)
Base,US6,Brandon Pfaadt,Arizona Diamondbacks,RC,Purple Foilboard – /799 (retail only)
Base,US7,Adley Rutschman,Baltimore Orioles,- Season Highlights,Green Foilboard – /499
Base,US8,Patrick Bailey,San Francisco Giants,RC,Orange Foilboard – /299
Base,US9,Bligh Madris,Houston Astros,RC,Red Foilboard – /199
Base,US10,Nick Martinez,San Diego Padres,,Vintage Stock – /99
Base,US11,Dérmis Garcia,Oakland Athletics,RC,Independence Day – /76
Base,US12,Nick Ahmed,Arizona Diamondbacks,,Black – /72 (hobby and jumbo only)
Base,US13,Mark Leiter Jr.,Chicago Cubs,,Father’s Day Powder Blue – /50
Base,US14,Owen Miller,Milwaukee Brewers,,Mother’s Day Hot Pink – /50
Base,US15,Mason Miller,Oakland Athletics,RC,Memorial Day Camo – /25
Base,US16,Pete Fairbanks,Tampa Bay Rays,,"Clear – /10 (select cards only, list below)"
Base,US17,Rich Hill,Pittsburgh Pirates,,Platinum – 1/1
Base,US18,Gunnar Henderson,Baltimore Orioles,- Rookie Debut,"Printing Plates – 1/1 (each has Black, Cyan, Magenta and Yellow versions)"
Base,US19,A.J. Puk,Miami Marlins,,Blue - 600 copies
Base,US20,Kodai Senga,New York Mets,- Rookie Debut,Black - /299
Base,US21,Andrés Muñoz,Seattle Mariners,,Gold - /75
Base,US22,Brandon Drury,Los Angeles Angels,,Red - /10
Base,US23,Danny Mendick,New York Mets,,Platinum - 1/1
Base,US24,Vaughn Grissom,Atlanta Braves,- Rookie Debut,Wood - 1/1
Base,US25,Jake Alu,Washington Nationals,RC,Black - /199
Base,US26,Drew Maggi,Pittsburgh Pirates,RC,Gold - /50
Base,US27,Richard Bleier,Boston Red Sox,,
Base,US28,Andrew Benintendi,Chicago White Sox,,
Base,US29,Garrett Hill,Detroit Tigers,RC,
Base,US30,Drew Smith,New York Mets,,
Base,US31,Nelson Velázquez,Chicago Cubs,RC,
Base,US32,Dominic Fletcher,Arizona Diamondbacks,RC,
Base,US33,Sean Murphy,Atlanta Braves,,
Base,US34,Dylan Lee,Atlanta Braves,,
Base,US35,Grayson Rodriguez,Baltimore Orioles,- Rookie Debut,
Base,US36,Salvador Perez / Bobby Witt Jr.,Kansas City Royals,- Veteran Combo,
Base,US37,Brewer Hicklen,Kansas City Royals,RC,
Base,US38,Matthew Batten,San Diego Padres,RC,
Base,US39,Garrett Crochet,Chicago White Sox,,
Base,US40,Bobby Miller,Los Angeles Dodgers,- Rookie Debut,
Base,US41,Christopher Morel,Chicago Cubs,- Season Highlights,
Base,US42,Matt Mervis,Chicago Cubs,RC,
Base,US43,Brooks Raley,New York Mets,,
Base,US44,Oswald Peraza,New York Yankees,- Rookie Debut,
Base,US45,Tim Herrin RC / Michael Kelly RC,Cleveland Guardians,,
Base,US46,Edouard Julien,Minnesota Twins,- Rookie Debut,
Base,US47,Dylan Moore,Seattle Mariners,,
Base,US48,Trevor Williams,Washington Nationals,,
Base,US49,Hogan Harris RC / Chad Smith RC,Oakland Athletics,,
Base,US50,Grayson Rodriguez,Baltimore Orioles,RC,
Base,US51,Dylan Dodd,Atlanta Braves,RC,
Base,US52,Domingo Germán,New York Yankees,,
Base,US53,Cody Bradford,Texas Rangers,RC,
Base,US54,Brent Headrick,Minnesota Twins,RC,
Base,US55,Taj Bradley,Tampa Bay Rays,RC,
Base,US56,Randy Vásquez,New York Yankees,RC,
Base,US57,Kyle Farmer,Minnesota Twins,,
Base,US58,Ryan Walker,San Francisco Giants,RC,
Base,US59,José Leclerc,Texas Rangers,,
Base,US60,Miguel Amaya,Chicago Cubs,RC,
Base,US61,Francisco Mejía,Tampa Bay Rays,,
Base,US62,Andrew Chafin,Arizona Diamondbacks,,
Base,US63,Carlos Estévez,Los Angeles Angels,,
Base,US64,Kyle Muller,Oakland Athletics,,
Base,US65,Jesse Chavez,Atlanta Braves,,
Base,US66,Michael Busch,Los Angeles Dodgers,- Rookie Debut,
Base,US67,Carlos Vargas,Arizona Diamondbacks,RC,
Base,US68,José Ureña,Washington Nationals,,
Base,US69,Andrew McCutchen / Connor Joe,Pittsburgh Pirates,- Veteran Combo,
Base,US70,Gavin Stone,Los Angeles Dodgers,RC,
Base,US71,Rob Refsnyder,Boston Red Sox,,
Base,US72,Adam Duvall,Boston Red Sox,,
Base,US73,Nick Fortes,Miami Marlins,,
Base,US74,Andruw Monasterio,Milwaukee Brewers,RC,
Base,US75,Ryan Noda,Oakland Athletics,RC,
Base,US76,Kevin Kiermaier,Toronto Blue Jays,,
Base,US77,Anthony Volpe,New York Yankees,- Rookie Debut,
Base,US78,Jose Siri,Tampa Bay Rays,,
Base,US79,Matt Reynolds,Cincinnati Reds,,
Base,US80,Alfonso Rivas,San Diego Padres,,
Base,US81,José Azocar,San Diego Padres,,
Base,US82,P.J. Higgins,Arizona Diamondbacks,,
Base,US83,Christian Vázquez,Minnesota Twins,,
Base,US84,Ryan Feltner,Colorado Rockies,,
Base,US85,Nolan Jones,Colorado Rockies,RC,
Base,US86,Trevor May,Oakland Athletics,,
Base,US87,Ryan Yarbrough,Kansas City Royals,,
Base,US88,Tyler Anderson,Los Angeles Angels,,
Base,US89,Tyler Nevin,Detroit Tigers,,
Base,US90,Tommy Pham,New York Mets,,
Base,US91,Devin Williams,Milwaukee Brewers,,
Base,US92,Dylan Floro,Miami Marlins,,
Base,US93,Logan O'Hoppe,Los Angeles Angels,- Rookie Debut,
Base,US94,Christian Bethancourt,Tampa Bay Rays,,
Base,US95,Eddie Rosario,Atlanta Braves,,
Base,US96,Michael Wacha,San Diego Padres,,
Base,US97,Kenta Maeda,Minnesota Twins,,
Base,US98,Zach Neto,Los Angeles Angels,RC,
Base,US99,Alec Burleson,St. Louis Cardinals,- Rookie Debut,
Base,US100,Jacob deGrom,Texas Rangers,,
Base,US101,Brice Turang,Milwaukee Brewers,- Rookie Debut,
Base,US102,Aaron Bummer,Chicago White Sox,,
Base,US103,Joey Ortiz,Baltimore Orioles,- Rookie Debut,
Base,US104,Alan Trejo,Colorado Rockies,,
Base,US105,Tomás Nido,New York Mets,,
Base,US106,Donovan Solano,Minnesota Twins,,
Base,US107,Tanner Bibee,Cleveland Guardians,- Rookie Debut,
Base,US108,Mitch Haniger,San Francisco Giants,,
Base,US109,Colin Holderman RC / Yerry De Los Santos RC,Pittsburgh Pirates,,
Base,US110,Vinnie Pasquantino,Kansas City Royals,- Rookie Debut,
Base,US111,Thaddeus Ward,Washington Nationals,RC,
Base,US112,Juan Then,Seattle Mariners,RC,
Base,US113,Braxton Garrett,Miami Marlins,,
Base,US114,Freddy Fermin,Kansas City Royals,RC,
Base,US115,Reese McGuire,Boston Red Sox,,
Base,US116,Mason Englert,Detroit Tigers,RC,
Base,US117,Pablo López,Minnesota Twins,,
Base,US118,Aledmys Díaz,Oakland Athletics,,
Base,US119,James Paxton,Boston Red Sox,,
Base,US120,Jake Odorizzi,Texas Rangers,,
Base,US121,Luis Guillorme,New York Mets,,
Base,US122,Jordan Walker,St. Louis Cardinals,- Rookie Debut,
Base,US123,Robbie Grossman,Texas Rangers,,
Base,US124,Michael Stefanic,Los Angeles Angels,RC,
Base,US125,Eric Hosmer,Chicago Cubs,,
Base,US126,Joey Ortiz,Baltimore Orioles,RC,
Base,US127,Manny Piña,Oakland Athletics,,
Base,US128,Hyun-Jin Ryu,Toronto Blue Jays,,
Base,US129,Jeimer Candelario,Washington Nationals,,
Base,US130,Dominic Smith,Washington Nationals,,
Base,US131,Joe Mantiply,Arizona Diamondbacks,,
Base,US132,Mike Trout / Julio Rodríguez,Los Angeles Angels,- Veteran Combo,
Base,US132,Mike Trout / Julio Rodríguez,Seattle Mariners,- Veteran Combo,
Base,US133,Casey Schmitt,San Francisco Giants,RC,
Base,US134,Gerrit Cole / Brandon Crawford,New York Yankees,- Veteran Combo,
Base,US134,Gerrit Cole / Brandon Crawford,San Francisco Giants,- Veteran Combo,
Base,US135,Cionel Pérez,Baltimore Orioles,,
Base,US136,Riley Adams,Washington Nationals,,
Base,US137,Garrett Stubbs,Philadelphia Phillies,,
Base,US138,Wander Franco / Brandon Lowe,Tampa Bay Rays,- Veteran Combo,
Base,US139,Eury Pérez,Miami Marlins,RC,
Base,US140,Corey Dickerson,Washington Nationals,,
Base,US141,Grant Anderson,Texas Rangers,RC,
Base,US142,Miguel Vargas,Los Angeles Dodgers,- Rookie Debut,
Base,US143,Ronald Acuña Jr. / Orlando Arcia,Atlanta Braves,- Veteran Combo,
