Variety,Card Number,Player/Athlete,Team,Rookie,Parallel
Base,H1,"Shohei Ohtani,",Los Angeles Dodgers,,Glitter Holiday  (Mega Box-Exclusive)
Base,H2,"Evan Carter,",Texas Rangers,,Blue Metallic Glitter Holiday (Mega Box-Exclusive)
Base,H3,"Junior Caminero,",Tampa Bay Rays,,Light Blue and White Glitter Holiday (Mega Box-Exclusive)
Base,H4,"Jacob Wilson,",Athletics,RC,Purple Glitter Holiday (Mega Box-Exclusive)
Base,H5,"George Kirby,",Seattle Mariners,,25th (Mega Box-Exclusive)
Base,H6,"Drew Thorpe,",Chicago White Sox,RC,Red Metallic Holiday (Mega Box-Exclusive)
Base,H7,"Josh Jung,",Texas Rangers,,Menorah (Mega Box-Exclusive)
Base,H8,"Ben Rice,",New York Yankees,RC,Green Glitter Holiday (Mega Box-Exclusive)
Base,H9,"Marcus Semien,",Texas Rangers,,Golden Metallic Holiday (Mega Box-Exclusive)
Base,H10,"Jasson Dom nguez,",New York Yankees,,Holiday Lights (Tin-Exclusive)
Base,H11,"Byron Buxton,",Minnesota Twins,,Blue Metallic Holiday Lights (Tin-Exclusive)
Base,H12,"Freddie Freeman,",Los Angeles Dodgers,,Purple Holiday Lights (Tin-Exclusive)
Base,H13,"Brooks Lee,",Minnesota Twins,RC,Red Metallic Holiday Lights (Tin-Exclusive)
Base,H14,"Anthony Santander,",Toronto Blue Jays,,Green Holiday Lights (Tin-Exclusive)
Base,H15,"Matt Olson,",Atlanta Braves,,Golden Metallic Holiday Lights (Tin-Exclusive)
Base,H16,"Will Warren,",New York Yankees,RC,Plaid (Advent Calendar-Exclusive)
Base,H17,"Orelvis Martinez,",Toronto Blue Jays,RC,Purple
Base,H18,"Gunnar Henderson,",Baltimore Orioles,,Blue
Base,H19,"Agust n Ram rez,",Miami Marlins,RC,Blue Sparkle
Base,H20,"Yandy D az,",Tampa Bay Rays,,Green
Base,H21,"William Contreras,",Milwaukee Brewers,,Green Sparkle
Base,H22,"Garrett Crochet,",Boston Red Sox,,Gold
Base,H23,"Roki Sasaki,",Los Angeles Dodgers,RC,Orange
Base,H24,"Framber Valdez,",Houston Astros,,Black
Base,H25,"Christian Yelich,",Milwaukee Brewers,,Red
Base,H26,"Kyle Tucker,",Chicago Cubs,,Superfractor
Base,H27,"Ian Happ,",Chicago Cubs,,Blue Metallic
Base,H28,"Shane McClanahan,",Tampa Bay Rays,,Purple Metallic
Base,H29,"Giancarlo Stanton,",New York Yankees,,
Base,H30,"Jackson Merrill,",San Diego Padres,,
Base,H31,"Justyn-Henry Malloy,",Detroit Tigers,RC,
Base,H32,"Tyler Soderstrom,",Athletics,,
Base,H33,"J.T. Realmuto,",Philadelphia Phillies,,
Base,H34,"Pete Alonso,",New York Mets,,
Base,H35,"Marcelo Mayer,",Boston Red Sox,RC,
Base,H36,"Ozzie Albies,",Atlanta Braves,,
Base,H37,"Edgar Quero,",Chicago White Sox,RC,
Base,H38,"Chandler Simpson,",Tampa Bay Rays,RC,
Base,H39,"Dansby Swanson,",Chicago Cubs,,
Base,H40,"Nick Kurtz,",Athletics,RC,
Base,H41,"Pete Crow-Armstrong,",Chicago Cubs,,
Base,H42,"Adael Amador,",Colorado Rockies,RC,
Base,H43,"Ketel Marte,",Arizona Diamondbacks,,
Base,H44,"Yordan Alvarez,",Houston Astros,,
Base,H45,"Bo Bichette,",Toronto Blue Jays,,
Base,H46,"Dylan Crews,",Washington Nationals,RC,
Base,H47,"Nathan Eovaldi,",Texas Rangers,,
Base,H48,"Mason Miller,",Athletics,,
Base,H49,"Triston Casas,",Boston Red Sox,,
Base,H50,"Mike Trout,",Angels,,
Base,H51,"Jack Flaherty,",Detroit Tigers,,
Base,H52,"Mookie Betts,",Los Angeles Dodgers,,
Base,H53,"Grant McCray,",San Francisco Giants,RC,
Base,H54,"Cal Raleigh,",Seattle Mariners,,
Base,H55,"Nolan Schanuel,",Angels,,
Base,H56,"Austin Wells,",New York Yankees,,
Base,H57,"Leo Jim nez,",Toronto Blue Jays,RC,
Base,H58,"Jordan Westburg,",Baltimore Orioles,,
Base,H59,"Yusei Kikuchi,",Angels,,
Base,H60,"Drake Baldwin,",Atlanta Braves,RC,
Base,H61,"Adolis Garc a,",Texas Rangers,,
Base,H62,"Ronald Acu a Jr.,",Atlanta Braves,,
Base,H63,"Cole Ragans,",Kansas City Royals,,
Base,H64,"Alec Burleson,",St. Louis Cardinals,,
Base,H65,"Xander Bogaerts,",San Diego Padres,,
Base,H66,"Vladimir Guerrero Jr.,",Toronto Blue Jays,,
Base,H67,"Austin Hays,",Cincinnati Reds,,
Base,H68,"Zebby Matthews,",Minnesota Twins,RC,
Base,H69,"Bryce Harper,",Philadelphia Phillies,,
Base,H70,"Paul Skenes,",Pittsburgh Pirates,,
Base,H71,"Matt Strahm,",Philadelphia Phillies,,
Base,H72,"Connor Norby,",Miami Marlins,RC,
Base,H73,"Oneil Cruz,",Pittsburgh Pirates,,
Base,H74,"Tarik Skubal,",Detroit Tigers,,
Base,H75,"Spencer Strider,",Atlanta Braves,,
Base,H76,"Riley Greene,",Detroit Tigers,,
Base,H77,"Dylan Cease,",San Diego Padres,,
Base,H78,"David Festa,",Minnesota Twins,RC,
Base,H79,"Andrew McCutchen,",Pittsburgh Pirates,,
Base,H80,"Lawrence Butler,",Athletics,,
Base,H81,"Kris Bryant,",Colorado Rockies,,
Base,H82,"Angel Mart nez,",Cleveland Guardians,RC,
Base,H83,"Logan Gilbert,",Seattle Mariners,,
Base,H84,"Andrew Benintendi,",Chicago White Sox,,
Base,H85,"Hayden Birdsong,",San Francisco Giants,RC,
Base,H86,"Austin Riley,",Atlanta Braves,,
Base,H87,"Wyatt Langford,",Texas Rangers,,
Base,H88,"Yu Darvish,",San Diego Padres,,
Base,H89,"Seiya Suzuki,",Chicago Cubs,,
Base,H90,"Trea Turner,",Philadelphia Phillies,,
Base,H91,"Manny Machado,",San Diego Padres,,
Base,H92,"Zac Veen,",Colorado Rockies,RC,
Base,H93,"Geraldo Perdomo,",Arizona Diamondbacks,,
Base,H94,"James Wood,",Washington Nationals,RC,
Base,H95,"Shane Bieber,",Cleveland Guardians,,
Base,H96,"Emmanuel Clase,",Cleveland Guardians,,
Base,H97,"Elly De La Cruz,",Cincinnati Reds,,
Base,H98,"Chris Sale,",Atlanta Braves,,
