Variety,Card Number,Player/Athlete,Team,Rookie,Parallel
Base,1,Aaron Judge,New York Yankees,,Black Foil - /25
Base,2,Jeter Downs,Washington Nationals,RC,Foilfractors - 1/1
Base,3,Bryce Harper,Philadelphia Phillies,,Uncommon Rainbow Foil
Base,4,Tyler Freeman,Cleveland Guardians,RC,Rare Blue Foil
Base,5,Oswaldo Cabrera,New York Yankees,RC,Super Rare Red Foil
Base,6,Bubba Thompson,Texas Rangers,RC,Legendary Gold Foil
Base,7,Drew Waters,Kansas City Royals,RC,
Base,8,Ezequiel Durán,Texas Rangers,RC,
Base,9,Josh Smith,Texas Rangers,RC,
Base,10,Graham Ashcraft,Cincinnati Reds,RC,
Base,11,Darick Hall,Philadelphia Phillies,RC,
Base,12,Jonathan Aranda,Tampa Bay Rays,RC,
Base,13,Esteury Ruiz,Oakland Athletics,RC,
Base,14,Travis Swaggerty,Pittsburgh Pirates,RC,
Base,15,Michael Massey,Kansas City Royals,RC,
Base,16,David Villar,San Francisco Giants,RC,
Base,17,Korey Lee,Houston Astros,RC,
Base,18,James Outman,Los Angeles Dodgers,RC,
Base,19,Kyle Stowers,Baltimore Orioles,RC,
Base,20,Vinnie Pasquantino,Kansas City Royals,RC,
Base,21,Liover Peguero,Pittsburgh Pirates,RC,
Base,22,Óscar González,Cleveland Guardians,RC,
Base,23,Fernando Tatis Jr.,San Diego Padres,,
Base,24,Reid Detmers,Los Angeles Angels,,
Base,25,Joe Ryan,Minnesota Twins,,
Base,26,Lars Nootbaar,St. Louis Cardinals,,
Base,27,Mike Trout,Los Angeles Angels,,
Base,28,Nick Lodolo,Cincinnati Reds,,
Base,29,Bryson Stott,Philadelphia Phillies,,
Base,30,MacKenzie Gore,Washington Nationals,,
Base,31,CJ Abrams,Washington Nationals,,
Base,32,Steven Kwan,Cleveland Guardians,,
Base,33,Jhoan Durán,Minnesota Twins,,
Base,34,Royce Lewis,Minnesota Twins,,
Base,35,José Miranda,Minnesota Twins,,
Base,36,Alek Thomas,Arizona Diamondbacks,,
Base,37,MJ Melendez,Kansas City Royals,,
Base,38,Ketel Marte,Arizona Diamondbacks,,
Base,39,Chris Sale,Boston Red Sox,,
Base,40,J.D. Martinez,Los Angeles Dodgers,,
Base,41,Kyle Schwarber,Philadelphia Phillies,,
Base,42,Joc Pederson,San Francisco Giants,,
Base,43,Andrew Vaughn,Chicago White Sox,,
Base,44,Julio Rodríguez,Seattle Mariners,,
Base,45,Sonny Gray,Minnesota Twins,,
Base,46,Tyler Stephenson,Cincinnati Reds,,
Base,47,Triston McKenzie,Cleveland Guardians,,
Base,48,Cody Bellinger,Chicago Cubs,,
Base,49,Max Muncy,Los Angeles Dodgers,,
Base,50,Juan Soto,San Diego Padres,,
Base,51,Will Smith,Los Angeles Dodgers,,
Base,52,Willy Adames,Milwaukee Brewers,,
Base,53,Alex Kirilloff,Minnesota Twins,,
Base,54,José Berríos,Toronto Blue Jays,,
Base,55,Marcus Stroman,Chicago Cubs,,
