Variety,Card Number,Player/Athlete,Team,Rookie,Parallel
Base,1,Jasson Domínguez,New York Yankees,RC,Pink Foilboard (hobby only)
Base,2,Bryan Reynolds,Pittsburgh Pirates,,Purple Foilboard (collector only)
Base,3,Jordan Walker,St. Louis Cardinals,,Black Foilboard (value boxes only)
Base,4,Yuki Matsui,San Diego Padres,RC,Yellow Foilboard (1:1 fat packs)
Base,5,Spencer Strider,Atlanta Braves,,Rainbow Foilboard
Base,6,Seth Lugo,Kansas City Royals,,Green Foilboard
Base,7,Henry Davis,Pittsburgh Pirates,RC,Aqua Sparkle Foilboard
Base,8,Nolan Schanuel,Los Angeles Angels,RC,Red Hot Foilboard
Base,9,Christian Scott,New York Mets,RC,Blue Foilboard (hobby only)
Base,10,Thurman Munson,New York Yankees,,Orange Hot Foilboard (hobby only)
Base,11,Heston Kjerstad,Baltimore Orioles,RC,Printing Plates
Base,12,Jared Jones,Pittsburgh Pirates,RC,Foilfractors
Base,13,Shea Langeliers,Oakland Athletics,,
Base,14,Pedro Martinez,Boston Red Sox,,
Base,15,Grayson Rodriguez,Baltimore Orioles,,
Base,16,Trevor Williams,Washington Nationals,,
Base,17,Don Mattingly,New York Yankees,,
Base,18,Pete Alonso,New York Mets,,
Base,19,Zac Gallen,Arizona Diamondbacks,,
Base,20,Andrés Giménez,Cleveland Guardians,,
Base,21,Vaughn Grissom,Boston Red Sox,,
Base,22,Michael Busch,Chicago Cubs,,
Base,23,Adrián Beltré,Texas Rangers,,
Base,24,Jacob deGrom,Texas Rangers,,
Base,25,JJ Bleday,Oakland Athletics,,
Base,26,Kyren Paris,Los Angeles Angels,RC,
Base,27,Osleivis Basabe,Tampa Bay Rays,RC,
Base,28,Javier Báez,Detroit Tigers,,
Base,29,Trevor Story,Boston Red Sox,,
Base,30,Max Scherzer,Texas Rangers,,
Base,31,Justin Foscue,Texas Rangers,RC,
Base,32,Royce Lewis,Minnesota Twins,,
Base,33,Junior Caminero,Tampa Bay Rays,RC,
Base,34,Freddie Freeman,Los Angeles Dodgers,,
Base,35,Frank Thomas,Chicago White Sox,,
Base,36,Kyle Manzardo,Cleveland Guardians,RC,
Base,37,Luis Matos,San Francisco Giants,RC,
Base,38,George Springer,Toronto Blue Jays,,
Base,39,Jonatan Clase,Toronto Blue Jays,RC,
Base,40,Carlos Beltrán,Kansas City Royals,,
Base,41,Ryne Sandberg,Chicago Cubs,,
Base,42,Edouard Julien,Minnesota Twins,,
Base,43,Julio Rodríguez,Seattle Mariners,,
Base,44,Jackson Chourio,Milwaukee Brewers,RC,
Base,45,Landon Knack,Los Angeles Dodgers,RC,
Base,46,Ken Griffey Jr.,Seattle Mariners,,
Base,47,Christian Encarnacion-Strand,Cincinnati Reds,RC,
Base,48,Mike Piazza,New York Mets,,
Base,49,Ronny Mauricio,New York Mets,RC,
Base,50,Anthony Volpe,New York Yankees,,
Base,51,Zach Neto,Los Angeles Angels,,
Base,52,Mitch Keller,Pittsburgh Pirates,,
Base,53,Tom Seaver,New York Mets,,
Base,54,Francisco Alvarez,New York Mets,,
Base,55,Derek Jeter,New York Yankees,,
Base,56,Yu Darvish,San Diego Padres,,
Base,57,Otto Lopez,Miami Marlins,,
Base,58,Wade Boggs,Boston Red Sox,,
Base,59,Jose Altuve,Houston Astros,,
Base,60,José Berríos,Toronto Blue Jays,,
Base,61,Yoshinobu Yamamoto,Los Angeles Dodgers,RC,
Base,62,Nolan Jones,Colorado Rockies,,
Base,63,Fernando Tatis Jr.,San Diego Padres,,
Base,64,Mark McGwire,St. Louis Cardinals,,
Base,65,Willy Adames,Milwaukee Brewers,,
Base,66,Marco Luciano,San Francisco Giants,RC,
Base,67,Yandy Díaz,Tampa Bay Rays,,
Base,68,Alex Rodriguez,Texas Rangers,,
Base,69,Jazz Chisholm Jr.,New York Yankees,,
Base,70,George Kirby,Seattle Mariners,,
Base,71,Chipper Jones,Atlanta Braves,,
Base,72,Bo Jackson,Kansas City Royals,,
Base,73,Bryce Harper,Philadelphia Phillies,,
Base,74,Elias Díaz,San Diego Padres,,
Base,75,Ketel Marte,Arizona Diamondbacks,,
Base,76,Gavin Williams,Cleveland Guardians,RC,
Base,77,Austin Riley,Atlanta Braves,,
Base,78,Lou Piniella,Kansas City Royals,,
Base,79,Jacob Young,Washington Nationals,RC,
Base,80,Salvador Perez,Kansas City Royals,,
Base,81,Willson Contreras,St. Louis Cardinals,,
Base,82,Gary Sánchez,Milwaukee Brewers,,
Base,83,Randy Johnson,Arizona Diamondbacks,,
Base,84,J.T. Realmuto,Philadelphia Phillies,,
Base,85,Blake Snell,San Francisco Giants,,
Base,86,Eloy Jiménez,Baltimore Orioles,,
Base,87,Garrett Crochet,Chicago White Sox,,
Base,88,Brayan Rocchio,Cleveland Guardians,,
Base,89,Dansby Swanson,Chicago Cubs,,
Base,90,Spencer Torkelson,Detroit Tigers,,
Base,91,Jordan Lawlar,Arizona Diamondbacks,RC,
Base,92,Jeremy Peña,Houston Astros,,
Base,93,Greg Maddux,Atlanta Braves,,
Base,94,Clayton Kershaw,Los Angeles Dodgers,,
Base,95,Gerrit Cole,New York Yankees,,
Base,96,Jonathan India,Cincinnati Reds,,
Base,97,Andrew Abbott,Cincinnati Reds,RC,
Base,98,Reese Olson,Detroit Tigers,RC,
Base,99,Anthony Rizzo,New York Yankees,,
Base,100,Adley Rutschman,Baltimore Orioles,,
Base,101,Gunnar Henderson,Baltimore Orioles,,
Base,102,Manny Machado,San Diego Padres,,
Base,103,Kris Bryant,Colorado Rockies,,
Base,104,Vladimir Guerrero Jr.,Toronto Blue Jays,,
Base,105,Victor Scott II,St. Louis Cardinals,RC,
Base,106,Cal Ripken Jr.,Baltimore Orioles,,
Base,107,Josh Jung,Texas Rangers,,
Base,108,Mike Mussina,Baltimore Orioles,,
Base,109,Mike Schmidt,Philadelphia Phillies,,
Base,110,Jo Adell,Los Angeles Angels,,
Base,111,Mookie Betts,Los Angeles Dodgers,,
Base,112,Sandy Alcantara,Miami Marlins,,
Base,113,Rickey Henderson,Oakland Athletics,,
Base,114,Duke Snider,Brooklyn Dodgers,,
Base,115,Alex Bregman,Houston Astros,,
Base,116,Ronald Acuña Jr.,Atlanta Braves,,
Base,117,Albert Pujols,St. Louis Cardinals,,
Base,118,Kyle Bradish,Baltimore Orioles,,
Base,119,Mickey Mantle,New York Yankees,,
Base,120,Everson Pereira,New York Yankees,RC,
Base,121,Cole Ragans,Kansas City Royals,,
Base,122,Mariano Rivera,New York Yankees,,
Base,123,Jack Leiter,Texas Rangers,RC,
Base,124,Curtis Mead,Tampa Bay Rays,RC,
Base,125,Cal Raleigh,Seattle Mariners,,
Base,126,Andrew McCutchen,Pittsburgh Pirates,,
Base,127,Jung Hoo Lee,San Francisco Giants,RC,
Base,128,TJ Friedl,Cincinnati Reds,,
Base,129,Ivan Rodriguez,Texas Rangers,,
Base,130,David Ortiz,Boston Red Sox,,
