Variety,Card Number,Player/Athlete,Team,Rookie,Parallel
Base,1,Noelvi Marte,Cincinnati Reds,RC,Green
Base,2,Jordan Beck,Colorado Rockies,RC,Yellow – /199
Base,3,Robert Gasser,Milwaukee Brewers,RC,Purple – /150
Base,4,Davis Schneider,Toronto Blue Jays,RC,Magenta – /99
Base,5,Evan Carter,Texas Rangers,RC,Red – /75
Base,6,Aaron Judge,New York Yankees,,Gold Electricity – /50
Base,7,Jackson Holliday,Baltimore Orioles,RC,Blue – /25
Base,8,Graham Pauley,San Diego Padres,RC,Orange – /10
Base,9,Tyler Glasnow,Los Angeles Dodgers,,Inception – 1/1
Base,10,Lawrence Butler,Oakland Athletics,RC,Purple – /199 
Base,11,Osleivis Basabe,Tampa Bay Rays,RC,Green – /125  
Base,12,Everson Pereira,New York Yankees,RC,Magenta – /99 
Base,13,Paul Skenes,Pittsburgh Pirates,RC,Aqua – /75    
Base,14,Riley Greene,Detroit Tigers,,Red – /50       
Base,15,Adley Rutschman,Baltimore Orioles,,Orange – /25 
Base,16,Nolan Arenado,St Louis Cardinals,,Blue – /5
Base,17,Marco Luciano,San Francisco Giants,RC,Inception – 1/1
Base,18,Gavin Williams,Cleveland Guardians,RC,
Base,19,Francisco Lindor,New York Mets,,
Base,20,Kyren Paris,Los Angeles Angels,RC,
Base,21,Ronny Mauricio,New York Mets,RC,
Base,22,Austin Riley,Atlanta Braves,,
Base,23,Kyle Manzardo,Cleveland Guardians,RC,
Base,24,Jacob Degrom,Texas Rangers,,
Base,25,Jordan Lawlar,Arizona Diamondbacks,RC,
Base,26,Vladimir Guerrero Jr.,Toronto Blue Jays,,
Base,27,Mike Trout,Los Angeles Angels,,
Base,28,Justin Foscue,Texas Rangers,RC,
Base,29,Nick Loftin,Kansas City Royals,RC,
Base,30,Jung Hoo Lee,San Francisco Giants,RC,
Base,31,Lamonte Wade Jr.,San Francisco Giants,,
Base,32,Bryan Woo,Seattle Mariners,RC,
Base,33,Masyn Winn,St Louis Cardinals,RC,
Base,34,Sal Frelick,Milwaukee Brewers,RC,
Base,35,Luis Arraez,San Diego Padres,,
Base,36,AJ Smith-Shawver,Atlanta Braves,RC,
Base,37,Ranger Suárez,Philadelphia Phillies,,
Base,38,Jasson Domínguez,New York Yankees,RC,
Base,39,Randy Arozarena,Seattle Mariners,,
Base,40,Dane Myers,Miami Marlins,RC,
Base,41,Bryan Ramos,Chicago White Sox,RC,
Base,42,Freddie Freeman,Los Angeles Dodgers,,
Base,43,Kyle Tucker,Houston Astros,,
Base,44,Yoshinobu Yamamoto,Los Angeles Dodgers,RC,
Base,45,Jacob Young,Washington Nationals,RC,
Base,46,Jonatan Clase,Toronto Blue Jays,RC,
Base,47,Tyler Soderstrom,Oakland Athletics,RC,
Base,48,Jordan Westburg,Baltimore Orioles,RC,
Base,49,Cody Bellinger,Chicago Cubs,,
Base,50,Carlos Correa,Minnesota Twins,,
Base,51,Joey Loperfido,Toronto Blue Jays,RC,
Base,52,Nick Gonzales,Pittsburgh Pirates,RC,
Base,53,Manny Machado,San Diego Padres,,
Base,54,Zack Wheeler,Philadelphia Phillies,,
Base,55,Trey Lipscomb,Washington Nationals,RC,
Base,56,Zack Gelof,Oakland Athletics,RC,
Base,57,Royce Lewis,Minnesota Twins,,
Base,58,Junior Caminero,Tampa Bay Rays,RC,
Base,59,Luis Matos,San Francisco Giants,RC,
Base,60,Corey Seager,Texas Rangers,,
Base,61,Gerrit Cole,New York Yankees,,
Base,62,Parker Meadows,Detroit Tigers,RC,
Base,63,Anthony Volpe,New York Yankees,,
Base,64,Tyler Black,Milwaukee Brewers,RC,
Base,65,Ryan Jeffers,Minnesota Twins,,
Base,66,Blaze Alexander,Arizona Diamondbacks,RC,
Base,67,Kyle Mccann,Oakland Athletics,RC,
Base,68,Lane Thomas,Cleveland Guardians,,
Base,69,Masataka Yoshida,Boston Red Sox,,
Base,70,Salvador Perez,Kansas City Royals,,
Base,71,Luis Robert Jr.,Chicago White Sox,,
Base,72,Heston Kjerstad,Baltimore Orioles,RC,
Base,73,Shohei Ohtani,Los Angeles Dodgers,,
Base,74,Yuki Matsui,San Diego Padres,RC,
Base,75,Endy Rodríguez,Pittsburgh Pirates,RC,
Base,76,David Fry,Cleveland Guardians,,
Base,77,Trea Turner,Philadelphia Phillies,,
Base,78,Elly De La Cruz,Cincinnati Reds,RC,
Base,79,Jordan Wicks,Chicago Cubs,RC,
Base,80,Andrew Abbott,Cincinnati Reds,RC,
Base,81,Victor Scott II,St Louis Cardinals,RC,
Base,82,Ben Brown,Chicago Cubs,RC,
Base,83,Wyatt Langford,Texas Rangers,RC,
Base,84,Kyle Harrison,San Francisco Giants,RC,
Base,85,Nolan Schanuel,Los Angeles Angels,RC,
Base,86,Yordan Alvarez,Houston Astros,,
Base,87,Shota Imanaga,Chicago Cubs,RC,
Base,88,Jeremy Peña,Houston Astros,,
Base,89,Jazz Chisholm Jr.,New York Yankees,,
Base,90,Clayton Kershaw,Los Angeles Dodgers,,
Base,91,Christian Scott,New York Mets,RC,
Base,92,Johan Rojas,Philadelphia Phillies,RC,
Base,93,Hunter Goodman,Colorado Rockies,RC,
Base,94,Nolan Jones,Colorado Rockies,,
Base,95,Jackson Chourio,Milwaukee Brewers,RC,
Base,96,Ceddanne Rafaela,Boston Red Sox,RC,
Base,97,Yariel Rodríguez,Toronto Blue Jays,RC,
Base,98,Jared Jones,Pittsburgh Pirates,RC,
Base,99,Kodai Senga,New York Mets,,
Base,100,Andy Pages,Los Angeles Dodgers,RC,
Autograph Patch,APC-AC,Alexander Canario,Chicago Cubs,RC,
Autograph Patch,APC-AP,Andy Pages,Los Angeles Dodgers,RC,
Autograph Patch,APC-AS,AJ Smith-Shawver,Atlanta Braves,RC,
Autograph Patch,APC-AV,Anthony Volpe,New York Yankees,,
Autograph Patch,APC-AW,Austin Wells,New York Yankees,RC,
Autograph Patch,APC-CC,Colton Cowser,Baltimore Orioles,RC,
Autograph Patch,APC-CE,Christian Encarnacion-Strand,Cincinnati Reds,RC,
Autograph Patch,APC-CME,Curtis Mead,Tampa Bay Rays,RC,
Autograph Patch,APC-CR,Ceddanne Rafaela,Boston Red Sox,RC,
Autograph Patch,APC-EC,Evan Carter,Texas Rangers,RC,
Autograph Patch,APC-ED,Elly De La Cruz,Cincinnati Reds,RC,
Autograph Patch,APC-EP,Everson Pereira,New York Yankees,RC,
Autograph Patch,APC-GW,Gavin Williams,Cleveland Guardians,RC,
